merk, tipe, prosesor, ram, rom, harga
Asus, Vivobook Pro M3400QA, AMD Ryen 5600H, 8, 512, 13000000
Dell, Inspiron 14, Intel Core i7, 12, 512, 8500000
Lenovo, Ideapad S340, Intel Core i5, 8, 1024, 8500000
Asus, TUF Gaming A15, AMD Ryzen 7, 8, 512, 1200000
Hp, Omen 15, Intel Core i7, 12, 1024, 14000000
Dell, G5 15, Intel Core i7, 8, 512, 12000000
Dell, G5 15 5505, Intel Core i7, 16, 512, 21000000
Lenovo, Legion 7, AMD Ryzen 7, 12, 1024, 18000000
HP, Spectre x360, Intel Core i7, 8, 512, 17000000
Lenovo, Legion 7, AMD Ryzen 7, 12, 1024, 18000000
Asus, TUF Gaming A15 FA507, AMD Ryzen 7, 8, 512, 18000000
Apple, MacBook Pro 16, Intel Core i7, 16, 512, 30000000
HP, Spectre x360 15, Intel Core i7, 16, 1024, 3000000
Acer, Predator Helios 16, Intel Core i7, 16, 1024, 28000000
Lenovo, IdeaPad Gaming 3, AMD Ryzen 5, 8, 512, 11000000
HP, 14s-dq0510TU, Intel UHD Graphics 600, 4, 256, 4500000
HP, 14s-fq0562AU, AMD Athlon, 4, 512, 5000000
HP, 15s-fq2705TU, Intel i3, 4, 512, 6000000
HP, 14s-dq0510TU, Intel UHD Graphics 600, 4, 256, 4500000
HP, 14s-fq0562AU, AMD Athlon, 4, 512, 5000000
HP, 15s-fq2705TU, Intel i3, 4, 512, 6000000
Asus, Zenbook Notebook UX482EAR Oled, Intel i5, 8, 512, 19000000
Asus, Zenbook Notebook UP5401ZA Oled, Intel i5, 8, 512, 18000000
Asus, Zenbook Notebook UP5401ea Oled, Intel i5, 8, 512, 16000000
Asus, Zenbook Notebook UX3402ZA Oled, Intel i5, 8, 512, 17000000
Asus, Zenbook Notebook UX5401EA, Intel i5, 8, 512, 15000000
Asus, Zenbook Notenook UX363EA, Intel i5, 8, 512, 15000000
Acer, Aspire 5 Slim A 514, Intel Core i3, 4, 512, 7000000
Asus, A416EPO, Intel Core i5, 8, 512, 11000000
Lenovo, Ideapad Flex 5, AMD Ryzen 7, 16, 1024, 13000000
HP, 14s, AMD Ryzen 7, 8, 512, 10000000
Dell, Inspiron 15 5509, Intel Core i7, 16, 512, 13000000
HP, Omen X 2S, Intel Core i9, 16, 1024, 23000000
Acer, Predator Triton 500, Intel Core i7, 16, 1024, 25000000